匯入序號,捕捉日期時間,表格類別,資料頁碼,繫放員,捕捉代碼,環號,第1色環,第2色環,第3色環,物種名,年齡,年齡依據一,年齡依據二,性別,性別依據一,性別依據二,頭骨,泄殖腔,孵卵斑,脂肪量,體換羽,飛羽換羽,飛羽磨損,幼鳥羽衣,初級覆羽世代,次級覆羽世代,初級飛羽世代,次級飛羽世代,三級飛羽世代,尾羽世代,體羽世代,非羽區世代,自然翼長,最大翼長,尾長,體重,繫放狀態,網號,留置狀況,嘴長測量方法,嘴長,全頭長,跗蹠長,虹膜色,換羽模式P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,抽血數,恥骨寬,活動分類,註記,F62,繫放站,問題修正
20160926,2016/4/16,回收,4,柯佳雯,R,K38176,,,,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,M,當日回收,,關渡,
20160867,2016/4/16,新鳥用,7,王清豊,N,K38179,,,,灰頭鷦鶯,1,S,,F,I,P,6,0,0,3,1,N,2,0,,,,,,,,,43,45,62,7.5,3,3,,,,,,,,,,,,,,,,,,,M,,,關渡,
20160885,2016/4/16,回收,2,柯佳雯,R,K38179,,,,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,M,當日回收,,關渡,
20160879,2016/4/16,新鳥用,8,柯佳雯,N,K38189,,,,灰頭鷦鶯,1,S,,F,I,,6,0,0,0,4,S,1,0,,,,,,,,,44.5,45.5,,7.5,3,3,,,,,,,5,5,5,4,0,0,0,0,0,0,,,M,尾羽換羽不量,,關渡,
20160937,2016/5/15,回收,4,林佩蓉,R,K38189,,,,灰頭鷦鶯,1,S,,F,I,P,6,0,1,2,2,N,1,0,,,,,,,,,42,43,62,7,3,3,W,3,14.6,29.2,20.3,,,,,,,,,,,,,,M,翅膀拉傷，留置後放飛,,關渡,
20160880,2016/4/16,新鳥用,8,林瑞興,N,K38190,,,,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,1,N,3,0,,,,,,,,,41,43,53,7.1,3,3,,,,,,,,,,,,,,,,,,,M,中央尾羽51.5mm,,關渡,
20160887,2016/4/16,新鳥用,9,柯佳雯,N,K38195,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,2,N,2,0,,,,,,,,,45,46.5,67,7.5,3,7,,3,13.6,29.3,21.1,,,,,,,,,,,,,,M,,,關渡,
20160892,2016/4/16,新鳥用,9,林瑞興,N,K38199,,,,灰頭鷦鶯,1,S,,F,I,,6,0,0,2,2,N,2,0,,,,,,,,,42.5,44.5,57,7.2,3,3,,,,,,,,,,,,,,,,,,,M,,,關渡,
20180129,2018/6/10,回收,5,沈妤蓮,R,K38199,Y,R,R,灰頭鷦鶯,1,S,,F,I,,6,0,1,1,0,N,1,0,,,,,,,,,43,45,60,8,1,6,,3,14.1,29.3,20.6,,,,,,,,,,,,,,M,,,關渡,
2018W042,2018/2/25,回收,1,周暉堡,R,K38199,Y,R,R,灰頭鷦鶯,1,S,,F,I,,6,0,1,1,0,N,1,0,,,,,,,,,43,45,67,8.5,1,7,,3,14.5,30.2,20.1,,,,,,,,,,,,,,O,,,關渡(冬),
20160893,2016/4/16,新鳥用,9,柯佳雯,N,K38200,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,2,N,2,0,,,,,,,,,42,43,65,7,3,1,,3,13.3,28.5,20,,,,,,,,,,,,,,M,,,關渡,
,2019/3/12,新鳥,6,蘇美如,N,K38331,Y,R,LP,灰頭鷦鶯,1,S,,U,,,6,0,0,2,0,N,3,0,,,,,,,,,43,44.5,70,7.2,1,1,,3,13.8,28.4,19.9,38,,,,,,,,,,,,,O,頭頂少量換羽,,湖本合作社,
,2019/3/12,新鳥,6,陳嘉宏,N,K38332,Y,O,LP,灰頭鷦鶯,1,S,,F,I,,6,0,0,0,3,N,2,0,,,,,,,,,42,43,,7,1,1,,3,13.7,28,20.7,37,,,,,,,,,,,,,O,全身各部位都換羽、尾羽換羽。,,湖本合作社,
,2019/3/12,新鳥,6,蘇美如,N,K38333,Y,M,LP,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,2,N,2,0,,,,,,,,,44,45.5,,7.5,1,1,,3,13.6,28.3,20.2,38,,,,,,,,,,,,,O,,,湖本合作社,
,2019/3/12,新鳥,6,蘇美如,N,K38335,Y,DP,M,灰頭鷦鶯,1,S,,U,,,6,0,0,2,3,N,3,0,,,,,,,,,41.5,43,,7,1,1,,3,13.7,28.4,19.9,123A,,,,,,,,,,,1,,O,頭、?、背部換羽中、中央尾羽換羽。,,湖本合作社,
,2019/3/12,新鳥,6,蘇美如,N,K38339,Y,DP,B,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,4,N,3,0,,,,,,,,,42,44,,6.9,1,1,,3,13.3,27.9,19.3,340,,,,,,,,,,,,,O,頭、?部換羽中、中央尾羽換羽。,,湖本合作社,
,2019/3/12,新鳥,7,蘇美如,N,K38341,Y,B,M,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,0,N,3,0,,,,,,,,,44,46,,7.5,1,1,,3,14.4,28.7,21.2,38,,,,,,,,,,,,,O,中央尾羽脫落,,湖本合作社,
,2019/3/12,新鳥,7,蘇美如,N,K38346,Y,B,DP,灰頭鷦鶯,1,S,,U,,,6,0,0,2,1,N,3,0,,,,,,,,,43.5,45.5,77,7.5,1,1,,3,13,28.1,21,123A,,,,,,,,,,,,,O,M?( 尾長推測),,湖本合作社,
,2019/4/17,回收,4,林瑞興,R,K38349,Y,LB,O,灰頭鷦鶯,1,S,,F,P,,6,5,3,0,0,N,3,0,,,,,,,,,42,44,58,8.7,1,2,,,,,,,,,,,,,,,,,,,O,,,湖本合作社,
,2019/3/16,新鳥,7,蘇美如,N,K38349,Y,LB,O,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,3,N,3,0,,,,,,,,,,49,,7,1,2,,3,12.8,28.3,20.7,37,,,,,,,,,,,1,,O,中央尾羽換羽，頭背?體換羽，疑似有孵卵斑,,湖本合作社,
,2019/3/16,新鳥,7,林瑞興,N,K38350,O,LB,R,灰頭鷦鶯,1,S,,U,,,6,0,0,2,1,N,2,0,,,,,,,,,43,45,,7.1,1,2,,3,13.9,28.9,20,340,,,,,,,,,,,1,,O,中央尾羽脫落，頭部略有換羽,,湖本合作社,
,2019/4/17,新鳥,8,蘇美如,N,K38352,Y,B,LP,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,0,N,4,0,,,,,,,,,,,71,7.5,1,1,,3,14,29.3,20.5,,,,,,,,,,,,,,O,飛羽磨損嚴重,,湖本合作社,
,2019/7/23,新鳥,8,蘇美如,N,K38355,Y,LB,M,灰頭鷦鶯,2,S,J,U,,,2,0,0,0,0,N,3,3,,,,,,,,,41,43,,7,1,1,,3,13.6,28.4,20.5,26,,,,,,,,,,,,,O,中央尾羽有羽鞘成長中,,湖本合作社,
,2019/11/29,回收,3,周俞君,R,K38356,Y,LP,R,灰頭鷦鶯,0,,,U,,,6,0,0,0,1,N,1,0,,,,,,,,,44.5,46.5,42,6.7,1,2,,3,14.1,28.2,20.2,,,,,,,,,,,,,,T,,,大埔溪,
,2019/11/8,回收,1,張瀚柏,R,K38356,Y,LP,R,灰頭鷦鶯,0,,,U,,,6,0,0,0,3,N,1,0,,,,,,,,,44,46,72,7,1,2,,3,14.2,28.3,,123B,,,,,,,,,,,,,T,頭部有羽鞘，跗趾長13.9太短刪除,,大埔溪,
,2019/11/3,新鳥,8,張瀚柏,N,K38356,Y,LP,R,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,3,S,1,0,,,,,,,,,43.5,45.5,,6.7,1,2,,3,14,29.1,19.9,,,,,,,,,,,,,,T,尾羽換羽，嘴內完全無黑色，肉色,,湖本合作社,
,2019/11/30,回收,3,呂佳家,R,K38358,Y,LP,Y,灰頭鷦鶯,0,,,U,,,6,0,0,0,1,N,1,0,,,,,,,,,46,47,,7.5,1,2,,3,14.3,29.6,21,,,,,,,,,,,,,,T,尾羽磨損嚴重,,大埔溪,
,2019/11/29,回收,3,周俞君,R,K38358,Y,LP,Y,灰頭鷦鶯,0,,,U,,,6,0,0,0,3,N,1,0,,,,,,,,,45,47,,6.9,1,2,,3,13.3,29.7,20.5,,,,,,,,,,,,,,T,尾羽磨損嚴重,,大埔溪,
,2019/11/8,回收,1,張瀚柏,R,K38358,Y,LP,Y,灰頭鷦鶯,2,S,,U,,,4,0,0,2,4,S,0,0,,,,,,,,,44,46,,7.5,1,2,,3,14.4,29.8,20.7,,5,5,5,5,5,5,5,4,2,1,,,T,尾羽換羽,,大埔溪,
,2019/11/3,新鳥,9,蘇美如,N,K38358,Y,LP,Y,灰頭鷦鶯,2,S,,U,,,4,0,0,0,4,S,1,1,,,,,,,,,,,,7.1,1,2,,3,14.2,29.8,20.6,38,5,5,5,5,5,5,4,4,1,0,,,T,,,湖本合作社,
,2019/11/17,回收,2,周俞君,R,K38360,Y,LP,M,灰頭鷦鶯,2,S,,U,,,4,0,0,0,2,S,0,1,,,,,,,,,44.2,46,73.1,,1,2,,,,,,,,,,,,,,,,,,,T,逃逸,,大埔溪,
,2019/11/3,新鳥,9,林瑞興,N,K38360,Y,LP,M,灰頭鷦鶯,2,S,,U,,,4,0,0,2,3,S,0,0,,,,,,,,,43.5,45,,7.1,1,2,,3,14.1,29.2,20.3,,5,5,5,5,5,5,4,3,2,1,,,T,,,湖本合作社,
,2019/4/17,新鳥,8,蘇美如,N,K38361,Y,B,W,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,0,N,3,0,,,,,,,,,43,45,60,7.1,1,2,,3,13.5,28.4,20.5,,,,,,,,,,,,,,O,環號跳號,,湖本合作社,
,2019/11/29,回收,2,陳嘉宏,R,K38365,Y,DP,DG,灰頭鷦鶯,2,S,,U,,,4,0,0,0,1,N,1,0,,,,,,,,,45,46,,6.5,1,2,,3,13.5,27.3,19.8,,,,,,,,,,,,,,T,尾羽成長中,,大埔溪,
,2019/11/17,回收,2,周俞君,R,K38365,Y,DP,DG,灰頭鷦鶯,2,S,,U,,,4,0,0,0,3,S,1,9,,,,,,,,,44,46,,6.5,1,2,,3,14.5,28.5,20.1,,5,5,5,5,5,5,5,4,2,1,,,T,尾羽換羽中,,大埔溪,
,2019/11/3,新鳥,9,呂佳家,N,K38365,Y,DP,DG,灰頭鷦鶯,2,S,,U,,,3,0,0,0,4,S,0,9,,,,,,,,,44,46,,6.5,1,2,,3,13.1,28.6,20.2,,5,5,5,5,5,5,4,2,0,0,,,T,尾羽換羽中,,湖本合作社,
,2019/11/3,新鳥,9,張瀚柏,N,K38366,Y,DP,W,灰頭鷦鶯,2,S,,U,,,5,0,0,1,3,S,1,0,,,,,,,,,45,47,75,7.5,1,2,,3,14.1,29.1,20.4,,5,5,5,5,5,5,5,5,4,4,,,T,,,湖本合作社,
,2019/11/8,新鳥,1,陳嘉宏,N,K38373,Y,Y,LG,灰頭鷦鶯,0,,,U,,,6,0,0,0,0,N,1,0,,,,,,,,,42,43.5,67,6.5,1,2,,3,13.8,28.2,20.3,123A,,,,,,,,,,,,,T,,,大埔溪,
,2019/11/8,新鳥,1,張瀚柏,N,K38374,Y,M,Y,灰頭鷦鶯,2,S,,U,,,5,0,0,0,3,N,1,0,,,,,,,,,43,44,,7.5,1,2,,3,12.9,27.9,19.7,123A,,,,,,,,,,,,,T,頭部有羽鞘,,大埔溪,
,2019/11/9,新鳥,2,陳嘉宏,N,K38384,Y,Y,DP,灰頭鷦鶯,0,,,U,,,6,0,0,0,2,N,2,0,,,,,,,,,43.5,45,73,6.7,1,2,,3,13.1,28,20.1,123B,,,,,,,,,,,,,T,,,大埔溪,
,2019/11/9,新鳥,2,賴佳郎,N,K38385,Y,DP,DP,灰頭鷦鶯,2,S,,U,,,4,0,0,0,2,S,0,2,,,,,,,,,45,47,,7,1,2,,3,13.9,28.5,22,123A,3,0,0,0,0,0,0,0,0,0,,,T,尾羽換羽,,大埔溪,
,2019/11/9,新鳥,2,張瀚柏,N,K38386,Y,Y,W,灰頭鷦鶯,0,,,U,,,6,0,0,0,3,N,1,0,,,,,,,,,43.5,46,,7,1,2,,3,13.2,28.1,19.9,123A,,,,,,,,,,,,,T,尾羽換羽,,大埔溪,
,2019/12/1,回收,3,謝承恩,R,K38388,Y,LB,Y,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,T,鳥多放飛,,大埔溪,
,2019/11/9,新鳥,2,張瀚柏,N,K38388,Y,LB,Y,灰頭鷦鶯,2,S,,U,,,5,0,0,0,3,N,1,0,,,,,,,,,40,41.5,63,6.5,1,2,,3,12.8,27.8,19.7,123A,,,,,,,,,,,,,T,,,大埔溪,
,2019/11/9,新鳥,2,蔡明汕,N,K38389,Y,LB,B,灰頭鷦鶯,2,S,,U,,,3,0,0,0,4,S,2,1,,,,,,,,,43,44.5,,6.7,1,2,,3,13.3,28.4,21,123B,5,5,5,4,3,1,0,0,0,0,,,T,尾羽成長,,大埔溪,
,2019/11/9,新鳥,3,劉佩珊,N,K38398,Y,M,M,灰頭鷦鶯,2,S,,U,,,4,0,0,0,1,N,0,1,,,,,,,,,41,43,64.5,6.5,1,2,,3,13.5,30.7,19.3,123B,,,,,,,,,,,,,T,,,大埔溪,
20170787,2017/2/26,新鳥,1,沈妤蓮,N,K38413,O,R,R,灰頭鷦鶯,1,S,,U,,,6,0,0,1,0,N,0,0,,,,,,,,,41,43,65,7,1,7,,3,11.3,28.2,22.4,26,,,,,,,,,,,,,M,,,大埔溪,
20170793,2017/2/26,新鳥,1,陳淑琴,N,K38416,O,R,DP,灰頭鷦鶯,1,S,,F,I,,6,0,0,2,0,N,1,0,,,,,,,,,44,45,67,7,1,5,,3,13.8,27.2,21.1,121B,,,,,,,,,,,,,M,,,大埔溪,
20170834,2017/2/26,回收,2,許惠吟,R,K38416,O,R,DP,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,1,3,,3,11.2,28.6,20.7,,,,,,,,,,,,,,M,當日回收,,大埔溪,
20170899,2017/4/30,回收,6,陳懿文,R,K38416,O,R,DP,灰頭鷦鶯,1,S,,F,C,B,6,5,4,0,0,N,1,0,,,,,,,,,41,42,,7,1,5,,3,12.7,29,21.2,123B,,,,,,,,,,,,,M,尾羽磨損未測量,,大埔溪,
20170794,2017/2/26,新鳥,1,張智偉,N,K38417,O,R,W,灰頭鷦鶯,1,S,,F,I,,6,0,0,0,1,N,2,0,,,,,,,,,42,43.5,62,7.5,1,3,,3,13.8,28.3,21.4,26,,,,,,,,,,,,,M,,,大埔溪,
20170822,2017/2/26,回收,1,吳麗蘭,R,K38417,O,R,W,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,1,1,,,,,,,,,,,,,,,,,,,M,當日回收,,大埔溪,
20170853,2017/4/16,回收,3,陳淑琴,R,K38417,O,R,W,灰頭鷦鶯,1,S,,F,C,I,6,5,0,0,2,N,2,0,,,,,,,,,44,45,,7,1,1,,3,11.5,27,18,38,,,,,,,,,,,,,M,"舌肉色,尾羽磨損未測量",,大埔溪,
20170796,2017/2/26,新鳥,1,林幸愉,N,K38419,O,Y,Y,灰頭鷦鶯,1,S,,F,I,,6,0,0,0,0,N,2,0,,,,,,,,,46,47.5,,7,1,1,,3,12.4,29.6,21.6,,,,,,,,,,,,,,M,尾羽換羽中,,大埔溪,
20170798,2017/2/26,新鳥,1,許惠吟,N,K38421,O,Y,O,灰頭鷦鶯,1,S,,U,,,6,0,0,1,0,N,2,0,,,,,,,,,42,43,65,6.5,1,1,,,,,,,,,,,,,,,,,,,M,"狀況不佳,先行放飛",,大埔溪,換羽模式為次要檢視
20170826,2017/2/26,新鳥,3,許惠吟,N,K38434,Y,B,O,灰頭鷦鶯,1,S,,U,,,6,0,0,0,0,N,1,0,,,,,,,,,43,44.5,75,7.5,1,7,,3,12.9,28.3,21.7,123A,,,,,,,,,,,,,M,"嘴內黑,但喉內不黑",,大埔溪,
20170874,2017/4/16,回收,5,陳淑琴,R,K38434,,,,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,,,,,,,,,,,,,,,,,,,M,當日回收,,大埔溪,
20170827,2017/2/26,新鳥,3,柯佳雯,N,K38435,Y,DP,LB,灰頭鷦鶯,1,S,,F,I,,6,0,0,3,0,N,1,0,,,,,,,,,43,45.5,71.5,7,1,8,,3,13.2,27.8,19.8,132C,,,,,,,,,,,,,M,,,大埔溪,
20170831,2017/2/26,新鳥,3,胡登雄,N,K38436,Y,DP,O,灰頭鷦鶯,1,S,,U,,,6,0,0,2,0,N,1,0,,,,,,,,,45,46,75,7,1,4,,3,15.1,28.6,20.2,123B,,,,,,,,,,,,,M,,,大埔溪,
20170837,2017/2/26,新鳥,3,柯佳雯,N,K38437,Y,Y,R,灰頭鷦鶯,1,S,,U,,,6,0,0,3,0,N,4,0,,,,,,,,,45,46,,7,1,8,,3,13.5,28.7,21,132C,,,,,,,,,,,,,M,嘴基白、喉內不黑、嘴喙黑、基部白、尾羽脫落不量,,大埔溪,
20170860,2017/4/16,新鳥,4,林仁勇,N,K38442,Y,Y,Y,灰頭鷦鶯,1,S,,M,I,O,6,1,0,0,0,N,3,0,,,,,,,,,42.5,45.5,,7,1,9,,3,13.7,28.9,21.9,139,,,,,,,,,,,,,M,"尾羽掉落,舌頭全黑",,大埔溪,
20170897,2017/4/30,新鳥,4,張安瑜,N,K38449,Y,M,B,灰頭鷦鶯,1,S,,M,C,I,6,1,0,0,0,N,3,0,,,,,,,,,43.5,45,76,7.5,1,1,,3,13.5,29,21.2,240,,,,,,,,,,,,,M,,,大埔溪,
20170912,2017/4/30,新鳥,4,林曉佳,N,K38451,Y,Y,M,灰頭鷦鶯,1,S,,M,I,,6,1,0,0,0,N,1,0,,,,,,,,,45,46,70,6.5,1,2,,3,11.5,27.2,21,123,,,,,,,,,,,,,M,,,大埔溪,
2016T149,2016/12/3,新鳥用,1,蘇美如,N,K38822,,,,灰頭鷦鶯,0,,,U,,,6,0,0,0,4,S,2,9,,,,,,,,,,,,7.3,3,7,,3,13.2,28.3,20.1,,,,,,,,,,,,,,T,,,大埔溪,
2016T209,2016/12/10,回收,1,柯伶樺,R,K38822,,,,灰頭鷦鶯,0,,,U,,,6,0,0,0,2,S,2,0,,,,,,,,,43,44,,6.7,3,7,,3,13.4,28.5,20.3,340,5,5,2,1,0,0,0,0,0,0,,,T,尾羽換羽中,,大埔溪,
20170791,2017/2/26,回收,1,柯佳雯,R,K38822,O,R,LG,灰頭鷦鶯,1,S,,U,,,6,0,0,3,0,N,2,0,,,,,,,,,41.5,43.5,61.5,7,1,6,,3,13.6,28.3,20.7,132C,,,,,,,,,,,,,M,"喙全黑,下銀白,嘴內膚色",,大埔溪,
20170854,2017/4/16,回收,3,簡安祿,R,K38822,,,,灰頭鷦鶯,1,S,,F,C,B,6,5,1,1,0,N,3,0,,,,,,,,,42,43,57,7,3,6,,3,12.4,28.3,22,38,,,,,,,,,,,,,M,,,大埔溪,
2016T165,2016/12/4,新鳥用,1,賴佳郎,N,K38825,,,,灰頭鷦鶯,0,,,U,,,6,0,0,0,0,N,2,9,,,,,,,,,45,47,,6.9,3,5,,3,13.6,28.1,20.5,,,,,,,,,,,,,,T,尾羽換羽中,,大埔溪,
2016T171,2016/12/4,新鳥用,1,王李廉,N,K38827,,,,灰頭鷦鶯,0,,,U,,,6,,,0,0,N,1,9,,,,,,,,,44,45.5,72,7,3,7,,3,13.2,27.6,20.1,,,,,,,,,,,,,,T,,,大埔溪,
2016T204,2016/12/10,新鳥用,1,林仁勇,N,K38833,,,,灰頭鷦鶯,2,S,,U,,,4,0,0,0,3,S,1,0,,,,,,,,,42,44,,7,3,1,,3,11.3,28.5,20.9,39,5,5,5,5,5,5,5,5,4,4,,,T,尾羽換羽中,,大埔溪,
2017W067,2017/2/26,新鳥,1,張安瑜,N,K38839,O,Y,R,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,1,N,1,0,,,,,,,,,44,46,83.5,7.5,1,2,,3,14.1,28.6,22,,,,,,,,,,,,,,O,O:嘴內黑,,合作社,
2016T253,2016/12/11,新鳥用,1,蔡繼鋒,N,K38840,,,,灰頭鷦鶯,1,S,,U,,,4,0,0,0,0,N,1,0,,,,,,,,,40,43,65,6.5,3,8,,3,12.6,28.1,20.1,121C,,,,,,,,,,,,,T,,,大埔溪,
2017W068,2017/2/26,新鳥,1,孫永貞,N,K38841,O,O,R,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,0,N,3,0,,,,,,,,,,41,71,6.5,1,6,,3,14.1,28.6,21.1,,,,,,,,,,,,,,O,O:嘴內黑,,合作社,
2017W076,2017/2/26,新鳥,1,孫永貞,N,K38842,O,O,Y,灰頭鷦鶯,1,S,,F,I,,6,0,0,0,0,N,2,0,,,,,,,,,43,45,66,6.5,1,6,,3,13.5,28.5,21.2,,,,,,,,,,,,,,O,,,合作社,
20170839,2017/2/26,回收,2,陳秋美,R,K38845,O,Y,M,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,1,,,,,,,,,,,,,,,,,,,M,繫放聯誼組/當日回收,,大埔溪,
2017W080,2017/2/26,新鳥,1,林穆明,N,K38845,O,Y,M,灰頭鷦鶯,1,O,,F,I,,4,0,0,2,0,N,2,0,,,,,,,,,43,44,69,7.3,1,6,,3,14.4,28.3,19.9,,,,,,,,,,,,,,O,頭骨鈣化異常，性別判斷依據時間,,合作社,
2017W084,2017/2/26,新鳥,1,張安瑜,N,K38847,O,Y,B,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,3,N,2,0,,,,,,,,,43.5,45,74,7.2,1,1,,3,13,27.7,21.1,,,,,,,,,,,,,,O,嘴內不黑,,合作社,
2017W085,2017/2/26,新鳥,1,楊昌諺,N,K38848,O,O,M,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,0,N,1,0,,,,,,,,,44.5,45.5,80,7.5,1,3,,3,14.3,27.9,21.5,,,,,,,,,,,,,,O,嘴內全黑,,合作社,
,2019/3/12,回收,3,蘇美如,R,K38869,Y,B,LB,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,4,N,3,0,,,,,,,,,43,45,,7,1,2,,,,,,123A,,,,,,,,,,,,,O,?、背部換羽,,湖本合作社,
20160912,2016/4/16,新鳥用,10,林瑞興,N,K38907,,,,灰頭鷦鶯,1,S,,M,I,,6,1,0,1,1,N,3,0,,,,,,,,,44,46,64,8,3,8,,3,13.1,29.2,20.9,,,,,,,,,,,,,,M,,,關渡,
20160927,2016/4/16,回收,4,柯佳雯,R,K38907,,,,灰頭鷦鶯,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,M,當日回收,,關渡,
2017W014,2017/1/22,回收,1,沈妤蓮,R,K38907,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,4,0,N,0,9,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,,,,O,其他：尾羽脫落，不測量。,,關渡(冬),
20160921,2016/4/16,新鳥用,10,方紫珣,N,K38911,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,1,N,2,0,,,,,,,,,44.5,46,61.5,8,3,2,,3,11.4,29.5,21.8,,,,,,,,,,,,,,M,,,關渡,
20160941,2016/5/15,回收,4,林佩蓉,R,K38911,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,1,N,1,0,,,,,,,,,44,45,,7.5,3,2,,3,14,29.6,21.7,,,,,,,,,,,,,,M,中央尾羽換羽,,關渡,
20160925,2016/4/16,新鳥用,10,林瑞興,N,K38912,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,1,N,3,0,,,,,,,,,42.5,46,69.5,8,3,4,,3,14,28.7,20.8,36,,,,,,,,,,,,,M,,,關渡,
20160931,2016/5/15,新鳥用,11,方紫珣,N,K38913,,,,灰頭鷦鶯,1,S,,M,P,,6,1,0,0,4,N,2,0,,,,,,,,,44,45,,7.5,3,9,,3,13.6,29.1,23.2,,,,,,,,,,,,,,M,尾羽換羽不量,,關渡,
20171076,2017/6/11,回收,7,林冠伶,R,K38913,W,O,O,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,1,N,3,0,,,,,,,,,44,45,65.1,7.5,1,3,,3,14.3,28.6,20.4,,,,,,,,,,,,,,M,,,關渡,
20160938,2016/5/15,新鳥用,11,葉玲瑤,N,K38916,,,,灰頭鷦鶯,1,S,,F,P,I,6,0,0,1,1,N,1,0,,,,,,,,,43,44,55,7.2,3,4,,3,13.9,29.2,20.2,,,,,,,,,,,,,,M,下巴換羽,,關渡,
20160944,2016/5/15,新鳥用,11,葉玲瑤,N,K38919,,,,灰頭鷦鶯,1,S,,F,C,,6,5,1,1,1,A,2,0,,,,,,,,,44,45,,7.1,3,9,,3,13.5,29,20.7,240,,,,,,,,,,,,,M,中央尾羽52.5mm,,關渡,
20160955,2016/5/15,新鳥用,12,柯佳雯,N,K38926,,,,灰頭鷦鶯,1,S,,F,I,,6,0,0,1,0,N,3,0,,,,,,,,,41.5,43,62,7.5,3,2,,3,13.8,28.5,20.2,123A,,,,,,,,,,,,,M,,,關渡,
20160958,2016/5/15,新鳥用,12,林瑞興,N,K38928,,,,灰頭鷦鶯,1,S,,M,I,C,6,1,0,1,1,N,2,0,,,,,,,,,42.5,45,72,6.9,3,9,,3,13.6,28.3,20,,,,,,,,,,,,,,M,,,關渡,
20160962,2016/6/5,新鳥用,12,張靖,N,K38929,,,,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,1,N,3,0,,,,,,,,,46,47,77.5,8,3,8,,3,13.2,28.7,20.7,,,,,,,,,,,,,,M,,,關渡,
20171017,2017/4/30,回收,5,張靖,R,K38929,W,Y,R,灰頭鷦鶯,1,S,,M,I,,6,0,0,0,1,N,3,0,,,,,,,,,45.5,46.5,76,7.5,1,7,,,,,,,,,,,,,,,,,,,M,,,關渡,
20180007,2018/3/11,回收,1,梅允文,R,K38929,W,Y,R,灰頭鷦鶯,1,S,,M,I,,6,0,0,1,0,N,2,0,,,,,,,,,46,48,82,9.8,1,7,,3,12.7,29.1,20.4,,,,,,,,,,,,,,M,,,關渡,
20160967,2016/6/5,新鳥用,13,張靖,N,K38933,,,,灰頭鷦鶯,1,S,,M,I,,6,0,1,0,0,N,2,0,,,,,,,,,45,46.5,69,7.5,3,1,,3,13.2,28.4,19.9,,,,,,,,,,,,,,M,,,關渡,
20160997,2016/6/26,新鳥用,13,張靖,N,K38937,,,,灰頭鷦鶯,2,S,,U,,,1,0,0,2,2,S,1,1,,,,,,,,,42.5,43.5,,8,3,4,,3,12.5,27.1,20,,5,5,5,0,1,0,0,0,0,0,,,M,中央尾羽生長,,關渡,
20161000,2016/6/26,新鳥用,13,王清豊,N,K38940,,,,灰頭鷦鶯,1,S,,M,I,P,6,0,0,0,3,N,2,0,,,,,,,,,44,45,67,7.8,3,3,,3,12.3,29,23.7,,,,,,,,,,,,,,M,腳未正確上環（兩端交錯非密合）危險,,關渡,
20161004,2016/6/26,新鳥用,13,張靖,N,K38942,,,,灰頭鷦鶯,2,S,,U,,,1,0,0,2,1,N,1,1,,,,,,,,,41.5,43,53.5,7.5,3,3,,3,12.5,27.6,20,,,,,,,,,,,,,,M,,,關渡,
20161066,2016/7/31,新鳥用,16,柯佳雯,N,K38971,,,,灰頭鷦鶯,1,S,,U,,,6,0,5,0,1,A,4,0,,,,,,,,,43,45,,7.5,3,3,,3,14.1,28.6,21.9,,,,,,,,,,,,,,M,尾羽換羽，嘴基黑，嘴內上側略黑，舌頭基部黑,,關渡,
